Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Albania,ALB,Human capital (constant 2018 US$),NW.HCA.TO,73700000000,7.57E+10,7.80E+10,8.12E+10
Albania,ALB,Human capital per capita (constant 2018 US$),NW.HCA.PC,25593.71,26326.26,27160.86,28333.68
Albania,ALB,"Human capital per capita, employed female (constant 2018 US$)",NW.HCA.FEMP.PC,2987.545,3072.504,3178.417,3312.927
Albania,ALB,"Human capital per capita, employed male (constant 2018 US$)",NW.HCA.MEMP.PC,17307.01,17817.1,18445.94,19245.19
Albania,ALB,"Human capital per capita, female (constant 2018 US$)",NW.HCA.FEMA.PC,3767.628,3872.142,3992.188,4161.137
Albania,ALB,"Human capital per capita, male (constant 2018 US$)",NW.HCA.MALE.PC,21826.08,22454.12,23168.67,24172.54
Albania,ALB,"Human capital per capita, self-employed female (constant 2018 US$)",NW.HCA.FSEM.PC,780.0834,799.6382,813.7716,848.2104
Albania,ALB,"Human capital per capita, self-employed male (constant 2018 US$)",NW.HCA.MSEM.PC,4519.067,4637.012,4722.724,4927.355
Albania,ALB,"Human capital, employed female (constant 2018 US$)",NW.HCA.FEMP.TO,8610000000,8.84E+09,9.13E+09,9.50E+09
Albania,ALB,"Human capital, employed male (constant 2018 US$)",NW.HCA.MEMP.TO,49900000000,5.12E+10,5.30E+10,5.52E+10
Albania,ALB,"Human capital, female (constant 2018 US$)",NW.HCA.FEMA.TO,10900000000,1.11E+10,1.15E+10,1.19E+10
Albania,ALB,"Human capital, male (constant 2018 US$)",NW.HCA.MALE.TO,62900000000,6.46E+10,6.66E+10,6.93E+10
Albania,ALB,"Human capital, self-employed female (constant 2018 US$)",NW.HCA.FSEM.TO,2250000000,2.30E+09,2.34E+09,2.43E+09
Albania,ALB,"Human capital, self-employed male (constant 2018 US$)",NW.HCA.MSEM.TO,13000000000,1.33E+10,1.36E+10,1.41E+10
Albania,ALB,Natural capital (constant 2018 US$),NW.NCA.TO,25200000000,2.72E+10,2.67E+10,2.59E+10
Albania,ALB,Natural capital per capita (constant 2018 US$),NW.NCA.PC,8758.227,9462.321,9275.87,9034.918
Albania,ALB,"Natural capital per capita, agricultural land (constant 2018 US$)",NW.NCA.AGRI.PC,4876.618,4924.092,4948.796,4800.549
Albania,ALB,"Natural capital per capita, agricultural land: cropland (constant 2018 US$)",NW.NCA.CROL.PC,2157.082,2262.01,2405.1,2339.289
Albania,ALB,"Natural capital per capita, agricultural land: pastureland (constant 2018 US$)",NW.NCA.PASL.PC,2719.536,2662.082,2543.696,2461.26
Albania,ALB,"Natural capital per capita, fisheries (constant 2018 US$)",NW.NCA.FISH.PC,2.179042,2.117198,2.234723,2.138477
Albania,ALB,"Natural capital per capita, forests: ecosystem services (constant 2018 US$)",NW.NCA.FECO.PC,964.4009,1018.703,1053.397,1059.904
Albania,ALB,"Natural capital per capita, forests: timber (constant 2018 US$)",NW.NCA.FTIM.PC,204.6429,197.7192,200.8375,210.3367
Albania,ALB,"Natural capital per capita, fossil fuels (constant 2018 US$)",NW.NCA.FOSL.PC,1762.909,1722.37,1398.456,1279.916
Albania,ALB,"Natural capital per capita, mangroves (constant 2018 US$)",NW.NCA.MANG.PC,0,0,0,0
Albania,ALB,"Natural capital per capita, nonrenewable assets (constant 2018 US$)",NW.NCA.SSOI.PC,1880.416,1803.471,1411.222,1349.984
Albania,ALB,"Natural capital per capita, nonrenewable assets: coal (constant 2018 US$)",NW.NCA.SACO.PC,1.611789,1.545341,5.348011,14.04399
Albania,ALB,"Natural capital per capita, nonrenewable assets: gas (constant 2018 US$)",NW.NCA.SAGA.PC,14.05818,13.0452,11.25673,10.60054
Albania,ALB,"Natural capital per capita, nonrenewable assets: minerals (constant 2018 US$)",NW.NCA.MINR.PC,117.5067,81.10048,12.76609,70.06743
Albania,ALB,"Natural capital per capita, nonrenewable assets: oil (constant 2018 US$)",NW.NCA.SAOI.PC,1747.239,1707.78,1381.852,1255.272
Albania,ALB,"Natural capital per capita, protected areas (constant 2018 US$)",NW.NCA.PRAR.PC,829.9701,1516.219,1659.383,1612.006
Albania,ALB,"Natural capital per capita, renewable (constant 2018 US$)",NW.NCA.RNEW.PC,6877.811,7658.85,7864.648,7684.934
Albania,ALB,"Natural capital, agricultural land (constant 2018 US$)",NW.NCA.AGRI.TO,14000000000,1.42E+10,1.42E+10,1.38E+10
